id,path,preprocess_ms,infer_ms,postprocess_ms,total_ms,class_id,score
148,data/images/part_005.png,2.09097,8.31693,2.08615,156.961,1,0.580392
149,data/images/part_006.png,2.29215,8.09235,2.08962,156.953,1,0.584314
150,data/images/part_007.png,2.24537,8.14617,2.09021,156.967,1,0.588235
151,data/images/part_008.png,2.09007,8.13067,2.08632,157.1,1,0.592157
152,data/images/part_001.png,2.03832,8.1182,2.08591,156.992,1,0.596078
153,data/images/part_002.png,2.0891,8.11446,2.09732,157.017,1,0.6
154,data/images/part_003.png,2.09072,8.13182,2.09154,157.032,1,0.603922
155,data/images/part_004.png,2.09815,8.09249,2.11849,157.085,1,0.607843
156,data/images/part_005.png,2.09172,8.09994,2.08594,157.032,1,0.611765
157,data/images/part_006.png,2.09394,8.11347,2.0894,157.06,1,0.615686
158,data/images/part_007.png,2.09119,8.10542,2.29064,157.29,1,0.619608
159,data/images/part_008.png,2.07254,8.10146,2.15875,157.096,1,0.623529
160,data/images/part_001.png,2.09141,8.0906,2.08583,157.108,1,0.627451
161,data/images/part_002.png,2.08999,8.10077,2.08693,156.984,1,0.631373
162,data/images/part_003.png,2.09092,8.09445,2.08564,157.027,1,0.635294
163,data/images/part_004.png,2.11591,8.09613,2.41286,157.123,1,0.639216
164,data/images/part_005.png,2.09285,8.09451,2.07262,156.752,1,0.643137
165,data/images/part_006.png,2.06801,8.08925,2.08752,156.557,1,0.647059
166,data/images/part_007.png,2.1798,8.09561,2.08623,156.552,1,0.65098
167,data/images/part_008.png,2.09146,8.10603,2.29694,156.54,1,0.654902
168,data/images/part_001.png,2.28932,8.09432,2.08579,156.315,1,0.658824
169,data/images/part_002.png,2.09334,8.09055,2.08879,156.297,1,0.662745
170,data/images/part_003.png,2.37358,8.29999,2.08483,156.509,1,0.666667
171,data/images/part_004.png,2.092,8.09949,2.13113,156.511,1,0.670588
172,data/images/part_005.png,2.09061,8.09283,2.08821,156.675,1,0.67451
173,data/images/part_006.png,2.40851,8.09477,2.08583,156.474,1,0.678431
174,data/images/part_007.png,2.07475,8.0973,2.09,156.445,1,0.682353
175,data/images/part_008.png,2.09212,8.11898,2.08602,156.442,1,0.686275
176,data/images/part_001.png,2.08857,8.09347,2.08765,156.401,1,0.690196
177,data/images/part_002.png,2.31911,8.09998,2.08625,156.405,1,0.694118
178,data/images/part_003.png,2.09004,8.09186,2.08579,156.416,1,0.698039
179,data/images/part_004.png,2.09467,8.09175,2.08622,156.407,1,0.701961
180,data/images/part_005.png,2.10018,8.09547,2.27049,156.597,1,0.705882
181,data/images/part_006.png,2.12296,8.372,2.08625,156.7,1,0.709804
182,data/images/part_007.png,2.10168,8.30561,2.08941,156.873,1,0.713726
183,data/images/part_008.png,2.09581,8.34404,2.23267,157.271,1,0.717647
